treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_corrected
P,HOK,HOK ,SEK,A,2,5,7,1A,30,0.66925
AB,HOK,HOK ,SEK,A,2,5,7,1B,30,1.34625
P,SEK,HOK ,SEK,H,2,5,7,1C,30,1.62725
AB,SEK,HOK ,SEK,H,2,5,7,1D,30,1.38725
P,SEK,SEK ,SEK,H,2,5,7,1E,30,0.40625
AB,SEK,SEK ,SEK,H,2,5,7,1F,30,0.33225
P,HOK,SEK ,SEK,A,2,5,7,1G,30,1.24225
AB,HOK,SEK ,SEK,A,2,5,7,1H,30,1.74325
P,HOK,HOK ,SEK,A,2,5,7,2A,30,0.27325
AB,HOK,HOK ,SEK,A,2,5,7,2B,30,0.58925
P,SEK,HOK ,SEK,H,2,5,7,2C,30,0.21125
AB,SEK,HOK ,SEK,H,2,5,7,2D,30,0.51925
P,SEK,SEK ,SEK,H,2,5,7,2E,30,0.30725
AB,SEK,SEK ,SEK,H,2,5,7,2F,30,0.42925
P,HOK,SEK ,SEK,A,2,5,7,2G,30,0.27025
AB,HOK,SEK ,SEK,A,2,5,7,2H,30,1.93325
P,HOK,HOK ,SEK,A,2,5,7,3A,30,1.38125
AB,HOK,HOK ,SEK,A,2,5,7,3B,30,1.40225
P,SEK,HOK ,SEK,H,2,5,7,3C,30,0.92425
AB,SEK,HOK ,SEK,H,2,5,7,3D,30,0.26225
P,SEK,SEK ,SEK,H,2,5,7,3E,30,1.84825
AB,SEK,SEK ,SEK,H,2,5,7,3F,30,0.27125
P,HOK,SEK ,SEK,A,2,5,7,3G,30,0.27325
AB,HOK,SEK ,SEK,A,2,5,7,3H,30,0.26225
P,HOK,HOK ,SEK,A,2,4,7,4A,30,0.93625
AB,HOK,HOK ,SEK,A,2,4,7,4B,30,1.17825
P,SEK,HOK ,SEK,H,2,4,7,4C,30,1.35025
AB,SEK,HOK ,SEK,H,2,4,7,4D,30,1.34125
P,SEK,SEK ,SEK,H,2,4,7,4E,30,1.18325
AB,SEK,SEK ,SEK,H,2,4,7,4F,30,0.24625
P,HOK,SEK ,SEK,A,2,4,7,4G,30,0.20225
AB,HOK,SEK ,SEK,A,2,4,7,4H,30,0.66425
P,HOK,HOK ,SEK,A,2,4,7,5A,30,0.80825
AB,HOK,HOK ,SEK,A,2,4,7,5B,30,0.40225
P,SEK,HOK ,SEK,H,2,4,7,5C,30,0.46225
AB,SEK,HOK ,SEK,H,2,4,7,5D,30,0.67525
P,SEK,SEK ,SEK,H,2,4,7,5E,30,0.71225
AB,SEK,SEK ,SEK,H,2,4,7,5F,30,0.39625
P,HOK,SEK ,SEK,A,2,4,7,5G,30,0.39325
AB,HOK,SEK ,SEK,A,2,4,7,5H,30,0.51125
P,HOK,HOK ,HOK,H,2,4,7,6A,30,1.63325
AB,HOK,HOK ,HOK,H,2,4,7,6B,30,0.31625
P,SEK,HOK ,HOK,A,2,4,7,6C,30,0.30725
AB,SEK,HOK ,HOK,A,2,4,7,6D,30,0.63325
P,SEK,SEK ,HOK,A,2,4,7,6E,30,1.27525
AB,SEK,SEK ,HOK,A,2,4,7,6F,30,0.91925
P,HOK,SEK ,HOK,H,2,4,7,6G,30,1.18025
AB,HOK,SEK ,HOK,H,2,4,7,6H,30,0.49825
P,HOK,HOK ,HOK,H,2,3,7,7A,30,0.20525
AB,HOK,HOK ,HOK,H,2,3,7,7B,30,0.16425
P,SEK,HOK ,HOK,A,2,3,7,7C,30,0.27325
AB,SEK,HOK ,HOK,A,2,3,7,7D,30,0.39225
P,SEK,SEK ,HOK,A,2,3,7,7E,30,0.22725
AB,SEK,SEK ,HOK,A,2,3,7,7F,30,0.27225
P,HOK,SEK ,HOK,H,2,3,7,7G,30,0.19925
AB,HOK,SEK ,HOK,H,2,3,7,7H,30,0.73425
P,HOK,HOK ,HOK,H,2,3,7,8A,30,0.23525
AB,HOK,HOK ,HOK,H,2,3,7,8B,30,0.70725
P,SEK,HOK ,HOK,A,2,3,7,8C,30,0.39525
AB,SEK,HOK ,HOK,A,2,3,7,8D,30,0.60825
P,SEK,SEK ,HOK,A,2,3,7,8E,30,0.27825
AB,SEK,SEK ,HOK,A,2,3,7,8F,30,0.58325
P,HOK,SEK ,HOK,H,2,3,7,8G,30,1.81425
AB,HOK,SEK ,HOK,H,2,3,7,8H,30,0.30125
P,HOK,HOK ,HOK,H,2,3,7,9A,30,0.35525
AB,HOK,HOK ,HOK,H,2,3,7,9B,30,0.36125
P,SEK,HOK ,HOK,A,2,3,7,9C,30,1.22225
AB,SEK,HOK ,HOK,A,2,3,7,9D,30,0.35925
P,SEK,SEK ,HOK,A,2,3,7,9E,30,0.44725
AB,SEK,SEK ,HOK,A,2,3,7,9F,30,0.39525
P,HOK,SEK ,HOK,H,2,3,7,9G,30,1.50225
AB,HOK,SEK ,HOK,H,2,3,7,9H,30,0.74625
P,HOK,HOK ,HOK,H,2,2,7,10A,30,0.38825
AB,HOK,HOK ,HOK,H,2,2,7,10B,30,0.77925
P,SEK,HOK ,HOK,A,2,2,7,10C,30,0.41925
AB,SEK,HOK ,HOK,A,2,2,7,10D,30,0.55625
P,SEK,SEK ,HOK,A,2,2,7,10E,30,0.34725
AB,SEK,SEK ,HOK,A,2,2,7,10F,30,0.39025
P,HOK,SEK ,HOK,H,2,2,7,10G,30,0.34925
AB,HOK,SEK ,HOK,H,2,2,7,10H,30,0.40925
P,HOK,HOK ,SEK,A,1,5,7,1A,30,0.34225
AB,HOK,HOK ,SEK,A,1,5,7,1B,30,1.29925
P,SEK,HOK ,SEK,H,1,5,7,1C,30,1.35325
AB,SEK,HOK ,SEK,H,1,5,7,1D,30,0.46725
P,SEK,SEK ,SEK,H,1,5,7,1E,30,0.26625
AB,SEK,SEK ,SEK,H,1,5,7,1F,30,0.22825
P,HOK,SEK ,SEK,A,1,5,7,1G,30,0.29125
AB,HOK,SEK ,SEK,A,1,5,7,1H,30,0.26525
P,HOK,HOK ,SEK,A,1,5,7,2A,30,0.35625
AB,HOK,HOK ,SEK,A,1,1,7,2B,30,0.52325
P,SEK,HOK ,SEK,H,1,1,7,2C,30,0.42125
AB,SEK,HOK ,SEK,H,1,1,7,2D,30,0.33525
P,SEK,SEK ,SEK,H,1,1,7,2E,30,1.37325
AB,SEK,SEK ,SEK,H,1,1,7,2F,30,0.46625
P,HOK,SEK ,SEK,A,1,1,7,2G,30,0.70725
AB,HOK,SEK ,SEK,A,1,1,7,2H,30,0.49725
P,HOK,HOK ,SEK,A,1,1,7,3A,30,0.54525
AB,HOK,HOK ,SEK,A,1,1,7,3B,30,0.07825
P,SEK,HOK ,SEK,H,1,1,7,3C,30,0.30525
AB,SEK,HOK ,SEK,H,1,1,7,3D,30,0.54025
P,SEK,SEK ,SEK,H,1,1,7,3E,30,0.31925
AB,SEK,SEK ,SEK,H,1,1,7,3F,30,0.41225
P,HOK,SEK ,SEK,A,1,1,7,3G,30,0.20825
AB,HOK,SEK ,SEK,A,1,1,7,3H,30,0.32125
P,HOK,HOK ,SEK,A,1,1,7,4A,30,1.24125
AB,HOK,HOK ,SEK,A,1,1,7,4B,30,0.99325
P,SEK,HOK ,SEK,H,1,1,7,4C,30,0.26925
AB,SEK,HOK ,SEK,H,1,1,7,4D,30,0.26725
P,SEK,SEK ,SEK,H,1,1,7,4E,30,0.27725
AB,SEK,SEK ,SEK,H,1,1,7,4F,30,0.62125
P,HOK,SEK ,SEK,A,1,1,7,4G,30,0.88425
AB,HOK,SEK ,SEK,A,1,1,7,4H,30,0.37725
P,HOK,HOK ,SEK,A,1,1,7,5A,30,0.57025
AB,HOK,HOK ,SEK,A,1,1,7,5B,30,0.36125
P,SEK,HOK ,SEK,H,1,1,7,5C,30,1.12825
AB,SEK,HOK ,SEK,H,1,1,7,5D,30,0.94325
P,SEK,SEK ,SEK,H,1,1,7,5E,30,0.30725
AB,SEK,SEK ,SEK,H,1,1,7,5F,30,0.32625
P,HOK,SEK ,SEK,A,1,1,7,5G,30,0.40225
AB,HOK,SEK ,SEK,A,1,1,7,5H,30,0.33625
P,HOK,HOK ,HOK,H,1,5,7,6A,30,0.34925
AB,HOK,HOK ,HOK,H,1,5,7,6B,30,0.89625
P,SEK,HOK ,HOK,A,1,5,7,6C,30,1.46725
AB,SEK,HOK ,HOK,A,1,5,7,6D,30,0.61225
P,SEK,SEK ,HOK,A,1,5,7,6E,30,1.61025
AB,SEK,SEK ,HOK,A,1,5,7,6F,30,1.28625
P,HOK,SEK ,HOK,H,1,5,7,6G,30,0.85325
AB,HOK,SEK ,HOK,H,1,5,7,6H,30,0.73225
P,HOK,HOK ,HOK,H,1,5,7,7A,30,0.49325
AB,HOK,HOK ,HOK,H,1,5,7,7B,30,0.21425
P,SEK,HOK ,HOK,A,1,5,7,7C,30,0.17825
AB,SEK,HOK ,HOK,A,1,5,7,7D,30,0.21425
P,SEK,SEK ,HOK,A,1,5,7,7E,30,0.20725
AB,SEK,SEK ,HOK,A,1,5,7,7F,30,0.24525
P,HOK,SEK ,HOK,H,1,5,7,7G,30,0.33125
AB,HOK,SEK ,HOK,H,1,5,7,7H,30,0.93525
P,HOK,HOK ,HOK,H,1,5,7,8A,30,0.34425
AB,HOK,HOK ,HOK,H,1,5,7,8B,30,0.27725
P,SEK,HOK ,HOK,A,1,5,7,8C,30,0.24325
AB,SEK,HOK ,HOK,A,1,5,7,8D,30,1.42425
P,SEK,SEK ,HOK,A,1,5,7,8E,30,1.32125
AB,SEK,SEK ,HOK,A,1,5,7,8F,30,0.40325
P,HOK,SEK ,HOK,H,1,5,7,8G,30,0.30225
AB,HOK,SEK ,HOK,H,1,5,7,8H,30,0.37725
P,HOK,HOK ,HOK,H,1,4,7,9A,30,0.27625
AB,HOK,HOK ,HOK,H,1,4,7,9B,30,0.37725
P,SEK,HOK ,HOK,A,1,4,7,9C,30,0.79325
AB,SEK,HOK ,HOK,A,1,4,7,9D,30,0.51525
P,SEK,SEK ,HOK,A,1,4,7,9E,30,0.42125
AB,SEK,SEK ,HOK,A,1,4,7,9FR,30,0.96325
P,HOK,SEK ,HOK,H,1,4,7,9G,30,1.54925
AB,HOK,SEK ,HOK,H,1,4,7,9H,30,0.30725
P,HOK,HOK ,HOK,H,1,4,7,10A,30,0.71425
AB,HOK,HOK ,HOK,H,1,4,7,10B,30,0.56125
P,SEK,HOK ,HOK,A,1,4,7,10C,30,1.27725
AB,SEK,HOK ,HOK,A,1,4,7,10D,30,0.31525
P,SEK,SEK ,HOK,A,1,4,7,10E,30,0.38025
AB,SEK,SEK ,HOK,A,1,4,7,10F,30,0.95725
P,HOK,SEK ,HOK,H,1,4,7,10G,30,0.37625
AB,HOK,SEK ,HOK,H,1,4,7,10H,30,0.33925
P,HOK,HOK ,SEK,A,2,5,7,1A,120,0.54525
AB,HOK,HOK ,SEK,A,2,5,7,1B,120,0.96425
P,SEK,HOK ,SEK,H,2,5,7,1C,120,1.50725
AB,SEK,HOK ,SEK,H,2,5,7,1D,120,1.18225
P,SEK,SEK ,SEK,H,2,5,7,1E,120,0.47025
AB,SEK,SEK ,SEK,H,2,5,7,1F,120,0.35025
P,HOK,SEK ,SEK,A,2,5,7,1G,120,1.33225
AB,HOK,SEK ,SEK,A,2,5,7,1H,120,0.92025
P,HOK,HOK ,SEK,A,2,5,7,2A,120,0.28725
AB,HOK,HOK ,SEK,A,2,5,7,2B,120,0.63625
P,SEK,HOK ,SEK,H,2,5,7,2C,120,0.17125
AB,SEK,HOK ,SEK,H,2,5,7,2D,120,0.67025
P,SEK,SEK ,SEK,H,2,5,7,2E,120,0.33425
AB,SEK,SEK ,SEK,H,2,5,7,2F,120,0.32925
P,HOK,SEK ,SEK,A,2,5,7,2G,120,0.22125
AB,HOK,SEK ,SEK,A,2,5,7,2H,120,1.89825
P,HOK,HOK ,SEK,A,2,5,7,3A,120,1.01425
AB,HOK,HOK ,SEK,A,2,5,7,3B,120,1.26625
P,SEK,HOK ,SEK,H,2,5,7,3C,120,1.11425
AB,SEK,HOK ,SEK,H,2,5,7,3D,120,0.21125
P,SEK,SEK ,SEK,H,2,5,7,3E,120,1.27425
AB,SEK,SEK ,SEK,H,2,5,7,3F,120,0.19825
P,HOK,SEK ,SEK,A,2,5,7,3G,120,0.20525
AB,HOK,SEK ,SEK,A,2,5,7,3H,120,0.22925
P,HOK,HOK ,SEK,A,2,4,7,4A,120,0.27825
AB,HOK,HOK ,SEK,A,2,4,7,4B,120,1.04525
P,SEK,HOK ,SEK,H,2,4,7,4C,120,1.67325
AB,SEK,HOK ,SEK,H,2,4,7,4D,120,1.65425
P,SEK,SEK ,SEK,H,2,4,7,4E,120,1.14425
AB,SEK,SEK ,SEK,H,2,4,7,4F,120,0.34325
P,HOK,SEK ,SEK,A,2,4,7,4G,120,0.23625
AB,HOK,SEK ,SEK,A,2,4,7,4H,120,0.95425
P,HOK,HOK ,SEK,A,2,4,7,5A,120,0.76125
AB,HOK,HOK ,SEK,A,2,4,7,5B,120,0.34325
P,SEK,HOK ,SEK,H,2,4,7,5C,120,0.52225
AB,SEK,HOK ,SEK,H,2,4,7,5D,120,0.70025
P,SEK,SEK ,SEK,H,2,4,7,5E,120,0.50425
AB,SEK,SEK ,SEK,H,2,4,7,5F,120,0.36425
P,HOK,SEK ,SEK,A,2,4,7,5G,120,0.31625
AB,HOK,SEK ,SEK,A,2,4,7,5H,120,0.49825
P,HOK,HOK ,HOK,H,2,4,7,6A,120,1.02025
AB,HOK,HOK ,HOK,H,2,4,7,6B,120,0.33825
P,SEK,HOK ,HOK,A,2,4,7,6C,120,0.35125
AB,SEK,HOK ,HOK,A,2,4,7,6D,120,0.73725
P,SEK,SEK ,HOK,A,2,4,7,6E,120,0.43425
AB,SEK,SEK ,HOK,A,2,4,7,6F,120,0.80325
P,HOK,SEK ,HOK,H,2,4,7,6G,120,1.12625
AB,HOK,SEK ,HOK,H,2,4,7,6H,120,0.42325
P,HOK,HOK ,HOK,H,2,3,7,7A,120,0.16325
AB,HOK,HOK ,HOK,H,2,3,7,7B,120,0.11425
P,SEK,HOK ,HOK,A,2,3,7,7C,120,0.13625
AB,SEK,HOK ,HOK,A,2,3,7,7D,120,0.39625
P,SEK,SEK ,HOK,A,2,3,7,7E,120,0.14825
AB,SEK,SEK ,HOK,A,2,3,7,7F,120,0.24425
P,HOK,SEK ,HOK,H,2,3,7,7G,120,0.12425
AB,HOK,SEK ,HOK,H,2,3,7,7H,120,0.42725
P,HOK,HOK ,HOK,H,2,3,7,8A,120,0.21225
AB,HOK,HOK ,HOK,H,2,3,7,8B,120,0.56825
P,SEK,HOK ,HOK,A,2,3,7,8C,120,0.21425
AB,SEK,HOK ,HOK,A,2,3,7,8D,120,0.63625
P,SEK,SEK ,HOK,A,2,3,7,8E,120,0.19925
AB,SEK,SEK ,HOK,A,2,3,7,8F,120,0.50125
P,HOK,SEK ,HOK,H,2,3,7,8G,120,1.82825
AB,HOK,SEK ,HOK,H,2,3,7,8H,120,0.31825
P,HOK,HOK ,HOK,H,2,3,7,9A,120,0.30725
AB,HOK,HOK ,HOK,H,2,3,7,9B,120,0.28425
P,SEK,HOK ,HOK,A,2,3,7,9C,120,0.90525
AB,SEK,HOK ,HOK,A,2,3,7,9D,120,0.26425
P,SEK,SEK ,HOK,A,2,3,7,9E,120,0.35825
AB,SEK,SEK ,HOK,A,2,3,7,9F,120,0.32225
P,HOK,SEK ,HOK,H,2,3,7,9G,120,0.38125
AB,HOK,SEK ,HOK,H,2,3,7,9H,120,0.62625
P,HOK,HOK ,HOK,H,2,2,7,10A,120,0.34625
AB,HOK,HOK ,HOK,H,2,2,7,10B,120,0.85625
P,SEK,HOK ,HOK,A,2,2,7,10C,120,0.35625
AB,SEK,HOK ,HOK,A,2,2,7,10D,120,0.50825
P,SEK,SEK ,HOK,A,2,2,7,10E,120,0.30725
AB,SEK,SEK ,HOK,A,2,2,7,10F,120,0.46425
P,HOK,SEK ,HOK,H,2,2,7,10G,120,0.30225
AB,HOK,SEK ,HOK,H,2,2,7,10H,120,0.31025
P,HOK,HOK ,SEK,A,1,5,7,1A,120,0.47475
AB,HOK,HOK ,SEK,A,1,5,7,1B,120,1.20875
P,SEK,HOK ,SEK,H,1,5,7,1C,120,0.72175
AB,SEK,HOK ,SEK,H,1,5,7,1D,120,0.31375
P,SEK,SEK ,SEK,H,1,5,7,1E,120,0.25775
AB,SEK,SEK ,SEK,H,1,5,7,1F,120,0.26975
P,HOK,SEK ,SEK,A,1,5,7,1G,120,0.32275
AB,HOK,SEK ,SEK,A,1,5,7,1H,120,0.27675
P,HOK,HOK ,SEK,A,1,5,7,2A,120,0.35175
AB,HOK,HOK ,SEK,A,1,1,7,2B,120,0.80775
P,SEK,HOK ,SEK,H,1,1,7,2C,120,0.41975
AB,SEK,HOK ,SEK,H,1,1,7,2D,120,0.32775
P,SEK,SEK ,SEK,H,1,1,7,2E,120,0.64275
AB,SEK,SEK ,SEK,H,1,1,7,2F,120,0.54575
P,HOK,SEK ,SEK,A,1,1,7,2G,120,0.86875
AB,HOK,SEK ,SEK,A,1,1,7,2H,120,0.53575
P,HOK,HOK ,SEK,A,1,1,7,3A,120,0.58075
AB,HOK,HOK ,SEK,A,1,1,7,3B,120,0.08075
P,SEK,HOK ,SEK,H,1,1,7,3C,120,1.20575
AB,SEK,HOK ,SEK,H,1,1,7,3D,120,0.30775
P,SEK,SEK ,SEK,H,1,1,7,3E,120,0.39975
AB,SEK,SEK ,SEK,H,1,1,7,3F,120,0.37275
P,HOK,SEK ,SEK,A,1,1,7,3G,120,0.20575
AB,HOK,SEK ,SEK,A,1,1,7,3H,120,0.27075
P,HOK,HOK ,SEK,A,1,1,7,4A,120,1.01875
AB,HOK,HOK ,SEK,A,1,1,7,4B,120,1.12875
P,SEK,HOK ,SEK,H,1,1,7,4C,120,0.27675
AB,SEK,HOK ,SEK,H,1,1,7,4D,120,0.27075
P,SEK,SEK ,SEK,H,1,1,7,4E,120,0.25875
AB,SEK,SEK ,SEK,H,1,1,7,4F,120,0.46775
P,HOK,SEK ,SEK,A,1,1,7,4G,120,0.56675
AB,HOK,SEK ,SEK,A,1,1,7,4H,120,0.41675
P,HOK,HOK ,SEK,A,1,1,7,5A,120,0.85075
AB,HOK,HOK ,SEK,A,1,1,7,5B,120,0.32675
P,SEK,HOK ,SEK,H,1,1,7,5C,120,1.06075
AB,SEK,HOK ,SEK,H,1,1,7,5D,120,1.48975
P,SEK,SEK ,SEK,H,1,1,7,5E,120,0.32475
AB,SEK,SEK ,SEK,H,1,1,7,5F,120,0.39475
P,HOK,SEK ,SEK,A,1,1,7,5G,120,0.40075
AB,HOK,SEK ,SEK,A,1,1,7,5H,120,0.33675
P,HOK,HOK ,HOK,H,1,5,7,6A,120,0.37275
AB,HOK,HOK ,HOK,H,1,5,7,6B,120,1.02375
P,SEK,HOK ,HOK,A,1,5,7,6C,120,1.54175
AB,SEK,HOK ,HOK,A,1,5,7,6D,120,0.80875
P,SEK,SEK ,HOK,A,1,5,7,6E,120,1.69575
AB,SEK,SEK ,HOK,A,1,5,7,6F,120,1.40375
P,HOK,SEK ,HOK,H,1,5,7,6G,120,1.52175
AB,HOK,SEK ,HOK,H,1,5,7,6H,120,0.77575
P,HOK,HOK ,HOK,H,1,5,7,7A,120,0.82175
AB,HOK,HOK ,HOK,H,1,5,7,7B,120,0.20375
P,SEK,HOK ,HOK,A,1,5,7,7C,120,0.13975
AB,SEK,HOK ,HOK,A,1,5,7,7D,120,0.16675
P,SEK,SEK ,HOK,A,1,5,7,7E,120,0.16475
AB,SEK,SEK ,HOK,A,1,5,7,7F,120,0.24475
P,HOK,SEK ,HOK,H,1,5,7,7G,120,0.34775
AB,HOK,SEK ,HOK,H,1,5,7,7H,120,1.43575
P,HOK,HOK ,HOK,H,1,5,7,8A,120,0.34975
AB,HOK,HOK ,HOK,H,1,5,7,8B,120,0.37375
P,SEK,HOK ,HOK,A,1,5,7,8C,120,0.22375
AB,SEK,HOK ,HOK,A,1,5,7,8D,120,0.85175
P,SEK,SEK ,HOK,A,1,5,7,8E,120,1.43975
AB,SEK,SEK ,HOK,A,1,5,7,8F,120,0.45875
P,HOK,SEK ,HOK,H,1,5,7,8G,120,0.32075
AB,HOK,SEK ,HOK,H,1,5,7,8H,120,0.38675
P,HOK,HOK ,HOK,H,1,4,7,9A,120,0.24075
AB,HOK,HOK ,HOK,H,1,4,7,9B,120,0.40575
P,SEK,HOK ,HOK,A,1,4,7,9C,120,1.05075
AB,SEK,HOK ,HOK,A,1,4,7,9D,120,0.23075
P,SEK,SEK ,HOK,A,1,4,7,9E,120,0.47275
AB,SEK,SEK ,HOK,A,1,4,7,9FR,120,0.91175
P,HOK,SEK ,HOK,H,1,4,7,9G,120,1.30075
AB,HOK,SEK ,HOK,H,1,4,7,9H,120,0.40575
P,HOK,HOK ,HOK,H,1,4,7,10A,120,0.76775
AB,HOK,HOK ,HOK,H,1,4,7,10B,120,0.61775
P,SEK,HOK ,HOK,A,1,4,7,10C,120,1.00775
AB,SEK,HOK ,HOK,A,1,4,7,10D,120,0.33375
P,SEK,SEK ,HOK,A,1,4,7,10E,120,0.52275
AB,SEK,SEK ,HOK,A,1,4,7,10F,120,0.60075
P,HOK,SEK ,HOK,H,1,4,7,10G,120,0.38075
AB,HOK,SEK ,HOK,H,1,4,7,10H,120,0.34275
P,HOK,HOK ,SEK,A,2,5,7,1A,960,0.5995
